id;nom;prenom;nom_famille;email;telephone;pays;ville;adresse;profession;statut_marital;genre;date_naissance;est_admin;statut;email_verifie;date_creation;numero_compte;solde;devise;type_compte;statut_compte
"1";"Administrator";"Admin";"User";"admin@solidbank.com";"+1234567890";"France";"Admin City";"Admin Address";"Administrator";"single";"male";"1980-01-01";"Oui";"active";"Oui";"2025-06-02 11:01:07";"Aucun compte";"N/A";"N/A";"N/A";"N/A"
"2";"Ms. Nova Eichmann";"Idell";"Kihn";"christiana.adams@example.com";"228.572.1315";"Schweiz / Suisse";"West Stan";"54254 Skiles Plaza
Moriahland, IA 30489";"Forest Fire Fighting Supervisor";"widowed";"female";"2001-06-12";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC2922919";"0";"EUR";"SAVINGS";"SUSPENDED"
"3";"Lupe Welch";"Emelia";"Gutkowski";"bahringer.dayna@example.net";"(443) 797-0680";"Deutschland";"Mooremouth";"43272 Kathryne Track
Nikkifurt, AK 12281";"Gaming Service Worker";"divorced";"male";"1986-12-18";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC4248286";"0";"EUR";"CHECKING";"SUSPENDED"
"4";"Dr. Kip Wolff";"Derrick";"Torp";"ardith.gibson@example.com";"+1.737.454.0616";"Nederland";"Port Silas";"27488 Reta Village Apt. 290
Douglasbury, UT 83832";"Precision Lens Grinders and Polisher";"widowed";"other";"1970-04-14";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC9569737";"0";"EUR";"CHECKING";"INACTIVE"
"5";"Aurelie O'Kon";"Dave";"Kshlerin";"sjohnson@example.com";"872-222-4233";"Россия";"Schaeferbury";"5670 Lacey Burg
Freddyport, IL 00859-8529";"Hydrologist";"divorced";"female";"1986-12-13";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC8645136";"0";"EUR";"CHECKING";"SUSPENDED"
"6";"Luisa Harris";"Marta";"Lang";"west.blaze@example.net";"1-417-825-3860";"Österreich";"Jayton";"71715 Stoltenberg Burgs
Hopeville, ID 46272-6422";"Veterinarian";"married";"male";"1980-12-13";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC0667838";"0";"EUR";"CHECKING";"ACTIVE"
"7";"Prof. Kacie Rosenbaum";"Jamarcus";"Treutel";"selina.hodkiewicz@example.org";"+1 (351) 976-7529";"France";"Littelville";"48294 Diana Glens
Ernsermouth, ME 50237";"Tractor Operator";"widowed";"other";"1992-08-25";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC6993168";"0";"EUR";"SAVINGS";"SUSPENDED"
"8";"Gordon Jenkins";"Danny";"Koelpin";"qnicolas@example.com";"+1-682-532-1614";"Suomi";"Jerroldhaven";"901 Wiley Lock
North Amelyville, MD 58489-9523";"Electrical Engineer";"widowed";"female";"1980-02-08";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC3237038";"0";"EUR";"CHECKING";"INACTIVE"
"9";"Fleta Erdman";"Cary";"Schaefer";"eichmann.casandra@example.com";"(910) 672-9521";"United Kingdom";"Lorichester";"1551 Kunze Hills Suite 398
Lake Tristin, ID 46822-6197";"Barber";"widowed";"female";"1980-07-30";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC4719698";"0";"EUR";"CHECKING";"SUSPENDED"
"10";"Mr. Ariel Pacocha I";"Deja";"Hansen";"umarquardt@example.net";"+18504624971";"Danmark";"O'Reillyberg";"5513 Samara Valley Suite 457
McGlynnland, SD 78877";"Ship Mates";"widowed";"other";"1997-01-04";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC7547968";"0";"EUR";"CHECKING";"INACTIVE"
